クエストID,クエスト名,ワールド名上段,ワールド名下段,依頼主,クエスト内容１,クエスト内容2,クエスト内容3,クエスト内容4,クエスト内容5,クエスト内容6,クエスト内容7,受注制限,難易度,成功報酬,失敗報酬,備考1,備考2,備考3,分類タグ,PC対応,android対応
0089,仲間を探すのに使ってみろ,,SugarLove～ドキドキ相性診断～ ver․2,魔王系受付嬢,貴様等は仲間を探す時はどうしている？,戦闘力を重視するのか？,それとも戦略を重視しているのか？,そんなものじゃ本当の仲間は得られんぞ,結局は互いの相性が合わなければ,いつの日か決別することになるんだ,相性を調べ写真を撮っておくと良いぞ！,特になし,★☆☆☆☆,5P,0P,特になし,,,調査,☑,☑
0080,サマーフレア作戦,PROJECT:,SUMMER FLARE,夏を壊したいオペレーター,私達はサマーフレア作戦を実行中です。,冒険者の方には現地に赴いてもらい,施設の初期化を行ってもらいたいのです。,ついででよろしいのですが,狂気を打ち払う剣と似た別の剣の記録を,していただければ私達としても助かります。,,Eランク以上,★★☆☆☆,31P,5P,推奨人数2～,2時間程度を想定しています。,けん玉の写真があれば特別報酬5Ｐ。,討伐,☑,☐
0097,チルしたいから見てきて！,,8番チルワ　8 exit chill world,チルがしたい少女,何もしたくなくてゆっくりしてると,出られなくなる部屋があるらしいんだけど,実際に行って出られなくなっても嫌だから,代わりに行ってきてほしいな。,,その部屋の一番奥に何があるのか,写真も撮ってきてもらえると嬉しいよ。,Eランク以上,★★☆☆☆,23P,0P,特になし,,,調査,☑,☑
0061,とあるランプの発見,,OutSide,超常現象研究科,わしは日々様々な超常現象を研究しておる,のだがどうやらこの世界には時間遡行が,出来る特別なランプがあると言う噂が,あるんじゃが不確かな噂を信じ探しに行く,時間がないんじゃそこで君たちに噂の真偽,を確かめるため魔法のランプを探し見つけ,たのなら証拠を撮影してきてほしいのじゃ,特になし,★☆☆☆☆,5P,0P,特になし,,,調査,☑,☐
0085,土木作業は楽しいゾ！その１,,Just Digging 1.1,汗水働く現場監督,そこの冒険者！穴掘りに興味はないか？！,,土砂崩れで休憩所が埋まってしまったので,急遽作業人員が必要になってしまった！,穴掘りを手伝ってくれるのであれば,俺のほうからいくらか報酬をだそう！,ビデオプレイヤーが見えるぐらいでいいゾ！,特になし,★★☆☆☆,6P,0P,Akyo５体発見で追加報酬,,,採取,☑,☐
0095,最果てからの救難信号,,Fate of the Irrbloss,真実を追い求める労働者,セクター５から謎の救難信号を受信した,私達はこの信号の発する場所に最新の技術が,使われた船があることも知っている。,,廃材から寄せ集めた船の一隻に乗船し,宇宙の謎を解き明かした証拠の撮影がしたい,長く困難な旅になるがやってみないか？,Cランク以上,★★★★☆,70P,0P,推奨5人,,,調査,☑,☐
0045,金の斧の回収,,金の斧　銀の斧,冒険者ギルドアトラス,とある辺境の村に普通の斧を入れると,金の斧に変えてくれる泉があると言う,情報を耳にしましたの！ギルドとしては,そう言った情報は見過ごせませんは！,どなたか村の泉に行って金の斧を手に,入れて来てくださらないかしら～,とっってもとっても欲しいですわ～,特になし,★☆☆☆☆,5P,0P,特になし,,,採取,☑,☐
0094,ボートレース体験,,BOAT RACE 虫恋（虫恋競艇）,オッドアイの怠け者受付嬢,実は私、ボートレーサー兼業してるのよね。,一応だけど、資格も持ってるわ。B2だけど。,この世界は凄く現実味のある動きを楽しめる,から是非走ってみてほしいのだ。,入ってすぐの場所にレース開始ボタンがある,のでそれを押してタイムを計ってみて？,今回は時間関係なく写真を撮るだけでOKよ。,特になし,★☆☆☆☆,5P,0P,VR酔い注意,,,調査,☑,☑
0066,回収出来たらくれてやる！！,,JUST梁渡り,傷だらけの盗賊,いてて…こっぴどくやられちまったぜ…,教会に金目の物を盗もうと忍び込んだら,まさか市街騎士団の本部だとは…,盗賊の矜持として何とかあるブツは,盗めたんだが、警備が厳しくなって,隠すことしかできなかった…,警備を突破して隠した物を取ってきてくれ！,Eランク以上,★☆☆☆☆,6P,0P,忍者、盗賊の方を連れて,クリアで特別報酬,,採取,☑,☐
0093,真冬の小さな妖精,,Sylvarium,おとぎ話が好きなお嬢様,冒険者の殿方は冬の妖精をご存じ？,この時期になると小さな妖精が５体集まって,大きな雪だるまを作るらしいわ。,,私は寒くて外に出たくないから,妖精を探し出して大きな雪だるまを家の前に,作ってほしいの！簡単な依頼でしょ？,特になし,★☆☆☆☆,6P,0P,1人推奨,,,採取,☑,☐
0092,都市避難区域の調査,,In-Between,終末を垣間見た記録者,かつて異常現象によって封鎖された都市。,,そこで気象に関する禁忌の研究がおこなわれ,愚かなことに数多の犠牲がでてしまったとか,,この都市を終わらせた異常な青い天体,その記録写真を収めてほしい。,特になし,★☆☆☆☆,6P,0P,特になし,,,調査,☑,☑
0042,絶対にボタンを押したい！,謎解き 絶対にボタンを,押させたくないネコチャン,犬のまめフレンズ,あのね、わたしボタンおしたいの！,ボタンおしたらさきにすすめそうだからね！,でもネコチャンがじゃまするの......,きっとなにかすごいものがあるんだと,わたしのカンがささやいてるんだ！,おねがいだから,だれかネコチャンをどうにかして！,特になし,★☆☆☆☆,5P,0P,特になし,,,調査,☑,☐
0046,無限の最奥に眠るもの,無限の図書館,-Infinite Library-,冒険家,その図書館ははるか昔,とある魔法によって最上階への道を,閉ざされてしまったらしい,図書館に流れる音楽が謎を解く,鍵になってるらしいが……,よければ最上階の景色を撮ってくれないか？,,特になし,★☆☆☆☆,5P,0P,特になし,,,調査,☑,☑
0084,森の守り神を探して・・・,follow the rabbit,うさぎを追いかけて,村を復興したい開拓者,兎の守り神がいると噂を聞いたんだ,その兎はかつて村に繁栄をもらたしたとか。,今では廃村となってしまった村だけど,それは、かつての力を失ってしまったせいだ,僕自身はそう考えてる。,もし本当に兎がいるのであれば,その兎とともに廃村を復興してほしい。,Eランク以上,★★☆☆☆,15P,0P,途中参加は同期ズレする,,,調査,☑,☐
0091,子猫の子守り,,Silver Falls,山小屋の老人,麓の町に買い出しに行ってる間だけ,子猫の面倒を少し見ててほしいのだが・・・,,ちょっとやんちゃな子で暫くすると,飛び出してしまうから外にいるときの写真を,撮ってもらえると助かるの・・・,,特になし,★☆☆☆☆,6P,0P,ローカルのため1人推奨,,,調査,☑,☑
0072,Blockという恐怖,,Blocked,優しいVRCユーザー,最近奇妙なことが周囲で起きているんだ,先週あたりにUSERrankがtrustedになった,ので、記念に簡単なゲームワールドを,作ってみたんだ。,でも、なぜかクリア出来なくて......,システムにバグもないし絶対におかしい...,すみませんが遊んでみてくれませんか？,Fランク以上,★★☆☆☆,12P,4P,4人以上推奨,,,調査,☑,☑
0041,10円とおうかん,,10円玉のしあわせ,駄菓子屋のおじさん,あんたらよう来てくれたねぇ,そんなに大事なもんちゃうけんど,昔あつめていた王冠ってやつを,探してほしいんや,確か５つくらいあった気がするが...,正直そんだけあれば思い出に浸れるわ,もしかしたらもっとあるかも知らんがな...,特になし,★☆☆☆☆,5P,0P,追加報酬あり：3Ｐ,,,採取,☑,☐
0019,実戦訓練！,,KatanaSurvivor,東の島国出身の騎士,技の使い方は習得できたみたいだな。,ここからは実戦訓練を開始する！,心してかかるがよい！,,,,,Eランク以上,★★☆☆☆,5P,0P,推奨人数：2人,最後まで戦い抜く,,討伐,☑,☐
0052,調査してほしいですの！,,罰ゲーム付きアスレチックワールド,ギルドマスター,この前新しく出来たアスレチックの,ワールドに下調べに行ってくださった,職員の方たちが泥まみれになって帰って来て,口を揃えて「あそこは…キツい」と,言っていてとても心配ですのですから,冒険者の皆様にそのアスレチックを攻略し,調査をしてきて欲しいですわ！,Eランク以上,★★☆☆☆,15P,0P,特になし,,,調査,☑,☐
0030,絶景を再び,,Nocturnadia,絶景好きのご老人,いつしか見た絶景が忘れられなくてのぉ…,確か宝箱に鍵を刺すことで辺り一面に,広がる絶景じゃったんだが肝心な鍵を,無くしてしもうてのぉ…,あの絶景をもう一度見たくてのぉ…,これを読んでいる冒険者さんや鍵を探し,絶景を写真に収めてきてくれないかのぉ？,Eランク以上,★☆☆☆☆,12P,0P,特になし,,,調査,☑,☐
0087,地雷原を突破してみろ！,,The Road To The Mirror,白髪のパワー系受付嬢,うちの知り合いの家が面白くてな！,なんとまあ家の周辺にすんごい量の爆弾,を地面に埋めているらしいんだ！,家の前にはミラーがあるから,そこで自撮りでも取ってみてくれ！,一応爆弾の探知機もあるから安心してくれ！,,Dランク以上,★★★☆☆,11P,0P,空間把握能力が必要,,,調査,☑,☑
0033,溢れた粘液の始末,,チルワールド＆日常の侵食,粘液駆除班の隊長,突如街中に大量の粘液が押し寄せてきた,このままでは街全域が粘液に支配されて,しまう。そうなる前に対処しなくては…,どうやらこの粘液には核が存在していて,そこを破壊出来れば粘液も消滅するだろう,から正確な位置を掴むため現地に向かい,核の位置を写真に収めてきてもらいたい,特になし,★☆☆☆☆,5P,0P,特になし,,,,☑,☐
0067,急募！敏腕アルバイト,,げむじゃむらーめん,ワンオペ店長,一人で店を回すのも大変なのに、,最近来てる客の一人が,も～～～味にうるさくって！！！,満足の一杯を出すまで帰ってくれないんだ…,頼む！最高のラーメンを作って,あいつを満足させてくれ！,テキトーに作るなよ……？,Eランク以上,★☆☆☆☆,12P,0P,料理人や調理師のメンバーをいれて,クリアで特別報酬,,採取,☑,☐
0020,冒涜された眠り,ヴードゥー・キングダム エピ,ソード：ゼロ 眠れる王母【JP・EN・KR】,冒険者ギルドアトラス,【先行調査クエスト】,※先着順（同日であれば受注可能）,とある研究者から救援要請がありました。,ですが、詳細な話を聞く前に,連絡が途絶えてしまいました。,詳細な情報を得るために、,調査に向かってください。,Eランク以上,★★★☆☆,5P,0P,推奨人数：1人,研究所で何が起きたか調べる,,先行調査,☑,☐
0090,呪われた人形,,Haunted Asylum 2,呪物収集コレクター,とある精神病院にはある噂がある,巷で囁かれているのは怪物や幽霊が出るとか,そんなオカルトのようなお話の中に,呪いの人形の話を私のほうで耳にしてね。,人形を持って帰ると同時に入り口で,君たちが持ち帰った写真も撮ってもらえると,私としても嬉しいのだが・・・,Dランク以上,★★★☆☆,22P,0P,ホラー耐性必要,,,採取,☑,☑
0027,異世界の学問,,VRC抜き打ちテスト,とある学校教員,君たちにはこれから学力テストを,行なってもらう…なぜかって？,,私が異世界の問題集を拾ったから,純粋に冒険者諸君に,やらせてみたくなったからさ！！,まさか解けないなんてことはないだろう？,Eランク以上,★☆☆☆☆,5P,0P,推奨人数：12人,PT対抗クエストで、PTメンバ全員の,Pを合算して１位のPTに特別報酬,調査,☑,☑
0078,生物兵器猫？,巨人城废墟 v1․2․2,Giant City Ruins,とある都市研究員,廃墟となった都市に猫の出現報告がある,最初は冗談かと思ったが現地の兵士から,多数の目撃情報があったのでこれを調査,資料サンプルとして写真がほしい。,調査が進むことで犠牲も少なくなる,依頼を受諾してくれることを期待しているよ,,Dランク以上,★★☆☆☆,10P,0P,推奨人数2人以上(ソロ可),リザルトではなくゲーム中に出現します。,,討伐,☑,☑
0024,爆弾猫ゲーム,,Udon Exploding Kittens,謎のギャンブラー,ルールはシンプル,爆弾猫カードを引かないこと,そのために相手を蹴落とすことも,ちゃんと視野にいれて,是非命のギャンブルを………,,,Fランク以上,★☆☆☆☆,3P,0P,推奨人数：4人,最後まで生き残る,,調査,☑,☑
0034,不可思議な世界の探索,,Umbra,冒険者ギルドアトラス・職員,この区域に突如多種多様な世界,そして扉が多数出現したのを確認した,まだ何が起きているのか情報が,不足しており職員も何人か失踪していて,困っているんだそこで君たちには,この不可解な世界の写真を,撮ってきてもらいたい。,特になし,★☆☆☆☆,5P,0P,特になし,,,調査,☑,☐
0038,かどに潜む魚,,Terrors of Nowhere,地底世界の管理者,私だけの世界に侵入者が現れた,ロビーのどこかに謎の魚がいるらしい...,エンケファリン（Eph）を５pt与えると,喜ぶという噂だが...,,写真でもよいから姿を見てみたいものだ...,,特になし,★☆☆☆☆,5P,0P,特になし,,,ホラー,☑,☐
